"id","rig","operator","well_name_number","current_location","county","file_number","api","start_date","next_location"
1,"NABORS X18","OXY USA INC","STATE GRESZ  2-26-35H-143-98","NENW 26-143N-98W","BIL","29398","33007018430000","1/8/2015","Stacking Out"
2,"CAPSTAR 314","BALLARD PETROLEUM","NELSON  34-19","SWSE 19-159N-81W","BOT","29807","33009024290000","1/13/2015","Undetermined"
3,"NABORS 413","DENBURY ONSHORE","CHSU  11-36SH 15","NWNW 36-131N-105W","BOW","29395","33011015270000","1/21/2015","Undetermined"
4,"TRINIDAD 35","DENBURY ONSHORE","CHSU  44-26SH 15","SESE 26-131N-105W","BOW","29460","33011015300000","1/11/2015","NH"
5,"NABORS b15","SM ENERGY CO","CHANDA  16-21HN","SESE 21-162N-98W","DIV","27324","33023011500000","1/17/2015","Undetermined"
6,"H & P 317","HUNT OIL COMPANY","SMOKY BUTTE   160-100-32-29H-1","SWSE 32-160N-100W","DIV","28753","33023012380000","1/2/2014","Undetermined"
7,"H & P 324","SAMSON RESOURCES CO","RANCHERO  1819-6H","NENE 18-163N-98W","DIV","29014","33023012620000","1/12/2015","Undetermined"
8,"NABORS 687","SM ENERGY CO","RILYE  3B-26HS","NENW 26-163N-100W","DIV","30054","33023012920000","1/19/2015","Undetermined"
9,"NABORS 108","SM ENERGY CO","GERTRUDE  1-26HN","NENE 26-163N-100W","DIV","30067","33023012980000","1/15/2015","Undetermined"
10,"TRINIDAD 221","HUNT OIL COMPANY","HALLIDAY  2-19-18H","LOT4 19-146N-92W","DUN","21607","33025014880000","12/22/2014","Stacking rig"
11,"STONEHAM 18","ENERPLUS RES USA CORP","EARTH LODGE  148-93-22A-21H TF","NWNW 23-148N-93W","DUN","21789","33025015210000","1/23/2015","Undetermined"
12,"H & P 257","CONTINENTAL RESOURCES","LUNDBERG FEDERAL  2-8AH","NENW 8-146N-96W","DUN","21877","33025015390000","* MIRU","Undetermined"
13,"UNIT 329","QEP ENERGY CO","MHA  4-28-29H-148-92","NESE 28-148N-92W","DUN","26365","33025022730000","1/18/2015","Undetermined"
14,"H & P 516","BURLINGTON RES O&G CO","CCU NORTH COAST  41-25MBH","NENE 25-147N-95W","DUN","26389","33025022780000","12/30/2014","Undetermined"
15,"NABORS X14","HRC OPERATING, LLC","FORT BERTHOLD  148-94-17C-8-7H","SESW 17-148N-94W","DUN","28281","33025025250000","1/14/2015","Undetermined"
16,"H & P 471","MARATHON OIL CO","HALEY USA  24-11H","SWSE 11-146N-95W","DUN","28417","33025025520000","1/1/2015","Undetermined"
17,"NABORS B19","XTO ENERGY INC","SCHETTLER  14X-9C","SWSW 9-147N-96W","DUN","28548","33025025670000","12/7/2014","Porcupine Fed."
