"id","file_number","api_number","operator","well_name","location","information_release_date"
1,"3440","33009007690000","ENDURO OPERATING, LLC","NSCU   K-709","NWNE 20-T161N-R79W","4/24/2015"
2,"5173","33009010840000","ENDURO OPERATING, LLC","NSCU   J-706","SESW 20-T161N-R79W","4/24/2015"
3,"17803","33053029700000","PETRO-HUNT, L.L.C.","CHARLSON MADISON NORTH UNIT  B205 XH","SENW 5-T153N-R95W",
4,"18036","33105017160000","TEXAKOTA, INC.","H. BORSTAD  3-6","SWNW 3-T157N-R95W",
5,"18037","33105017170000","TEXAKOTA, INC.","HEMSING  3","NENE 9-T157N-R95W",
6,"18174","33105017390000","TEXAKOTA, INC.","H. BORSTAD   4-6","NWNE 4-T157N-R95W",
7,"18179","33105017410000","TEXAKOTA, INC.","H. BORSTAD  34-3","NESE 34-T158N-R95W",
8,"18185","33105017420000","TEXAKOTA, INC.","H. BORSTAD   3","SESE 3-T157N-R95W",
9,"18186","33105017430000","TEXAKOTA, INC.","H. BORSTAD  3-7","SENE 3-T157N-R95W",
10,"18202","33105017440000","TEXAKOTA, INC.","HEMSING  4","SESE 9-T157N-R95W",
11,"18813","33053031310000","KODIAK OIL & GAS (USA) INC.","SORENSON FEDERAL  4-9H","NWNW 9-T153N-R96W",
12,"19217","33053031900000","WESCO OPERATING, INC.","FEDERAL  42-1","SENE 1-T145N-R104W",
13,"19294","33007016530000","WHITING OIL AND GAS CORPORATION","BSMU  3605","SWNW 36-T142N-R101W",
14,"19296","33055001360000","SHD OIL & GAS, LLC","GOLDEN  22-31H","SENW 31-T150N-R90W","2/21/2015"
15,"19708","33053032990000","WHITING OIL AND GAS CORPORATION","KOALA USA  4-7-8-15H","LOT 1 7-T153N-R96W",
16,"19780","33025011920000","WHITING OIL AND GAS CORPORATION","SKUNK CREEK  4-10-11-8H","NWNW 10-T148N-R93W",
17,"19881","33053033440000","ENERPLUS RESOURCES USA CORPORATION","HALL  23-21H","NENW 23-T149N-R94W",
18,"20087","33053033910000","ENERPLUS RESOURCES USA CORPORATION","HUDSON  13-21H","NENW 13-T149N-R94W",
19,"20343","33025012870000","ENERPLUS RESOURCES USA CORPORATION","HIDATSA HILLS  26-21H","NENW 26-T149N-R93W",
20,"20376","33053034600000","ENERPLUS RESOURCES USA CORPORATION","FOOL BEAR  23-34H","SWSE 23-T152N-R94W",
21,"20438","33025013070000","ENERPLUS RESOURCES USA CORPORATION","JUPITER 148-93  19B-2H TF","LOT1 19-T148N-R93W",
22,"20468","33053034930000","BURLINGTON RESOURCES OIL & GAS COMPANY LP","LOVAAS  7-1-1UTFH","NENE 1-T150N-R96W",
23,"20469","33053034940000","BURLINGTON RESOURCES OIL & GAS COMPANY LP","STATE VEEDER  44-36TFH","SESE 36-T150N-R96W",
24,"20522","33053035080000","NEWFIELD PRODUCTION COMPANY","SAND CREEK FEDERAL  153-96-30-1H","SESE 30-T153N-R96W",
25,"20523","33053035090000","NEWFIELD PRODUCTION COMPANY","SAND CREEK FEDERAL  153-96-30-10H","SESE 30-T153N-R96W",
26,"20606","33025013430000","ENERPLUS RESOURCES USA CORPORATION","SATURN  147-93-09C-04-2H","SWSW 9-T147N-R93W",
27,"20608","33025013450000","ENERPLUS RESOURCES USA CORPORATION","VENUS  147-93-16B-21-2H TF","NWNW 16-T147N-R93W",
